date,hawkish,dovish,net_score
2022-01-25,12,9,0.14285034045997808
2022-03-15,10,7,0.1764602082230457
2022-05-03,12,6,0.3333148158435642
2022-06-14,14,4,0.555524693072607
2022-07-26,11,4,0.4666355576294914
2022-09-20,11,4,0.4666355576294914
2022-11-01,14,5,0.4736592810904689
2022-12-13,14,5,0.4736592810904689
2023-01-31,14,5,0.4736592810904689
2023-03-21,12,4,0.4999687519530029
2023-05-02,10,3,0.5384201215291131
2023-06-13,11,3,0.5713877580172845
2023-07-25,11,3,0.5713877580172845
2023-09-19,12,4,0.4999687519530029
2023-10-31,11,5,0.37497656396475215
2023-12-12,12,5,0.41174048585377326
2024-01-31,10,8,0.1111049386145214
2024-03-19,10,8,0.1111049386145214
2024-04-30,13,9,0.1818099177310122
2024-06-11,10,9,0.0526288090100521
2024-07-30,12,8,0.19999000049997498
2024-09-17,16,8,0.333319445023124
2024-11-06,13,4,0.529380624669137
2024-12-17,14,4,0.555524693072607
2025-01-29,13,4,0.529380624669137
2025-03-19,15,3,0.6666296316871284
2025-05-07,13,3,0.6249609399412537
2025-06-18,12,2,0.7142346975216056
2025-07-30,12,2,0.7142346975216056
2025-09-17,15,3,0.6666296316871284
2025-10-29,15,3,0.6666296316871284
